timestamp_utc,event_type,symbol,action,setup,session,confidence,context_score,nn_probability,dataset_probability,no_trade_decision,outcome,pnl,reason
2026-07-06T06:54:02.743642,analysis,xauusd,SELL,unknown_setup,off_kill_zone,85,81,72.8,,,pending,0.0,"Why SELL in Intraday mode: Blue checked all configured timeframes, then planned execution from the 5m chart. The setup is showing bearish confluence, not just one indicator. 1d supports sell: EMA trend bearish, below 200 EMA, lower-high / lower-low structure; 4h supports sell: EMA trend mixed, above"
2026-07-06T06:54:07.199013,analysis,eth,WAIT,unknown_setup,off_kill_zone,62,56,73.8,,,pending,0.0,"No trade in Intraday mode because the confluence is not clean enough. Current regime is range / discount. A real analyst would wait for liquidity sweep, displacement, then retest of FVG/OB before entry.  Desk narrative: No institutional thesis is active because confluence is not strong enough. Overa"
2026-07-06T06:54:09.260194,analysis,xagusd,SELL,unknown_setup,off_kill_zone,86,81,77.5,,,pending,0.0,"Why SELL in Intraday mode: Blue checked all configured timeframes, then planned execution from the 5m chart. The setup is showing bearish confluence, not just one indicator. 1d supports sell: EMA trend bearish, below 200 EMA, RSI bearish momentum; 4h supports sell: EMA trend mixed, above 200 EMA, RS"
2026-07-06T06:54:14.509437,analysis,ethusd,SELL,unknown_setup,off_kill_zone,85,81,74.0,,,pending,0.0,"Why SELL in Intraday mode: Blue checked all configured timeframes, then planned execution from the 5m chart. The setup is showing bearish confluence, not just one indicator. 1d supports sell: EMA trend mixed, below 200 EMA, RSI bullish momentum; 4h supports sell: EMA trend mixed, above 200 EMA, RSI "
